concrete,al,random,gp,pareto,2,100,0.70452,6.97150,9.07644,0.54358,0.84696,0.82696,0.81709,5.20139,7.14129,0.42768,0.90394,0.89273,0.75423,6.05140,8.27783,0.49575,0.87164,0.87568,-1701.36631,627.29298,688.93992,41.25974,0.88645,0.88421,0.72095,6.96770,8.82048,0.52825,0.85784,0.85409,0.80326,5.81829,7.40622,0.44355,0.89635,0.89259,0.55328,8.29649,11.16016,0.66837,0.75091,0.76511
concrete,al,maximin,sv,cluster_margin,9,100,0.71623,6.63028,8.89479,0.53270,0.85811,0.86075,0.81529,4.94510,7.17632,0.42978,0.91024,0.90917,0.73204,6.46223,8.64357,0.51765,0.85717,0.85207,-1275.57564,554.38444,596.59295,35.72920,0.58012,0.60579,0.73588,6.52979,8.58142,0.51393,0.85897,0.85893,0.76788,5.90343,8.04465,0.48178,0.87896,0.88238,0.46979,9.71914,12.15849,0.72816,0.69222,0.67386
concrete,al,max_entropy,gp_ard,cluster_margin,5,100,0.68212,7.11107,9.41428,0.56381,0.82741,0.81620,0.79204,5.30736,7.61460,0.45603,0.89062,0.87578,0.76814,5.87951,8.04014,0.48151,0.88353,0.87007,-1616.90062,613.86171,671.63105,40.22314,0.88699,0.87844,0.77345,5.90085,7.94762,0.47597,0.88432,0.87204,0.67099,6.45142,9.57760,0.57359,0.84829,0.86747,0.62107,7.73606,10.27857,0.61557,0.79528,0.80811
rpv,al,maximin,gp_ard,hallucinate,8,100,0.53807,23.21256,31.36359,0.67965,0.75328,0.73907,0.66243,19.86236,26.81149,0.58101,0.83063,0.80424,0.70645,19.39742,25.00213,0.54180,0.85780,0.83187,-11269.35759,3271.96743,4899.00097,106.16194,0.85431,0.76171,0.73355,18.61861,23.82006,0.51618,0.87139,0.83751,0.83341,14.39723,18.83496,0.40816,0.91717,0.88593,0.49699,23.90899,32.72863,0.70923,0.71262,0.65200
concrete,al,medoids,gp,topk,4,100,0.62762,7.84761,10.18945,0.61023,0.79331,0.77159,0.69324,7.05936,9.24817,0.55386,0.83286,0.82400,0.68250,7.07692,9.40857,0.56347,0.84883,0.84269,-1082.33328,506.13029,549.58629,32.91403,0.56146,0.51988,0.69387,7.12123,9.23870,0.55329,0.84088,0.82796,0.74879,6.49952,8.36897,0.50121,0.87180,0.86540,0.52735,8.61299,11.47950,0.68749,0.72730,0.69054
concrete,al,max_entropy,gp,topk,7,100,0.71969,6.85839,8.84045,0.52944,0.85873,0.83529,0.80016,5.42691,7.46437,0.44703,0.89675,0.88226,0.62456,8.05580,10.23114,0.61273,0.81472,0.79835,-1217.85629,542.52623,582.94972,34.91212,0.78192,0.75480,0.74617,6.55831,8.41245,0.50381,0.86812,0.85986,0.75435,6.36357,8.27590,0.49563,0.87047,0.86099,0.53100,8.77810,11.43518,0.68484,0.73722,0.70334
concrete,al,random,sv,hallucinate,6,100,0.65015,7.43067,9.87631,0.59148,0.81874,0.82669,0.73051,6.47513,8.66811,0.51912,0.85614,0.84624,0.68269,7.16159,9.40580,0.56330,0.83134,0.82197,-1792.69989,572.96615,707.17962,42.35209,0.64610,0.64707,0.70250,6.98454,9.10754,0.54544,0.84353,0.83433,0.47024,8.95053,12.15333,0.72785,0.73514,0.70818,0.37329,10.46730,13.21873,0.79165,0.62875,0.58903
concrete,al,medoids,sv,pareto,7,100,0.64550,7.76202,9.94180,0.59540,0.83701,0.80952,0.79783,5.52425,7.50787,0.44964,0.89586,0.88603,0.73857,6.31350,8.53746,0.51130,0.87348,0.86532,-2746.98582,782.38035,875.31040,52.42123,0.85174,0.86611,0.69798,6.70078,9.17647,0.54957,0.85743,0.84840,0.73620,6.29927,8.57620,0.51362,0.87763,0.86993,0.41888,9.77960,12.72886,0.76232,0.72574,0.68141
perovskite_h_adsorp,al,random,rf,cluster_margin,7,100,0.81226,0.02056,0.02961,0.43329,0.91226,0.77445,0.86882,0.01417,0.02475,0.36219,0.93296,0.80095,0.57757,0.02713,0.04442,0.64994,0.76825,0.74555,-0.01212,0.05792,0.06875,1.00604,0.43172,0.70138,0.65138,0.02938,0.04035,0.59044,0.84135,0.41482,0.65136,0.03002,0.04035,0.59046,0.84375,0.41248,0.77902,0.02046,0.03213,0.47009,0.88931,0.66968
perovskite_h_adsorp,al,max_entropy,gp_ard,pareto,2,100,0.57299,0.02299,0.04466,0.65346,0.80433,0.82512,0.67303,0.02020,0.03908,0.57182,0.83501,0.85549,0.03825,0.03504,0.06702,0.98069,0.47437,0.66128,0.04523,0.04280,0.06678,0.97713,0.71451,0.72021,0.39256,0.02481,0.05326,0.77939,0.62907,0.77119,0.32839,0.02569,0.05601,0.81952,0.57953,0.69407,0.41581,0.03392,0.05223,0.76433,0.65366,0.65541
