,smiles,homolumogap
0,N[CH]SS[CH]N,0.3864016677099999
1,O[C](C1=CC=[C]C=C1)CCCC(=O)C(=O)O,0.6122561636249997
2,[CH2]CCCCC[CH2],0.7374285348549998
3,[CH2]C[C@@H]1CC[C@H](CC1)[CH2],0.808178135985
4,COc1cccc(c1F)[CH],0.8571586290750002
5,N[C](c1c[nH]c2=CC=[C]C=c12)Cc1cncnc1,0.9088602606699996
6,O[N]Cc1cc2=C[C]=CC=c2c2c1cccc2,0.9796098618000002
7,c1ccc2c(-c3ccccc3[CH]C[CH]2)c1,1.06668629396
8,O=C1C=[C][C]2[C@@]1(CCC1=CC=C[CH]N1)[CH]2,1.1428781721
9,[CH]c1ccnc(c1)N1CCCC1=O,1.2109066347250006
10,[O]O[C]1[C@@H]2C[CH]C[C@@H]3C[C@H]1C[C]3C2,1.2680505433299998
11,[O][N]C[N]NC1=CC=[C]C=C1,1.303425343895
12,C1=C[C]2C[C]1C=C2,1.341521282965
13,[CH]c1cccc(c1)C(=O)O,1.3796172220350005
14,C[C]([N][C]1CCC[C@@]2([C](C1)CC(C2)(C)C)C)O,1.4313188536300003
15,C1[CH]c2ccc3c4c2C(=Cc4cc2c3cccc2)[CH]1,1.4666936541949998
16,c1ncc2c(n1)[C]1[CH][CH][C]2C1,1.4939050392450004
17,O=C(C(F)(F)F)C[C](C1=N[C]=CS1)O,1.5238375627999998
18,N1=C[N]c2c([CH]1)c1N=C[N]c1c1c2N=C[N]1,1.5537700863550006
19,O=C(/N=C\1/C=CC=CC1=O)NC1=CNNS1,1.578260332900001
20,Cc1[nH]c2=c([nH]c1C)c(=O)c1c(c2=O)cccc1,1.600029440939999
21,O=C1[CH]c2cc3ccccc3cc2[N]C1=O,1.61635627197
22,c1cnc2c(s1)c1nc3c(c1cc2)cccc3,1.6381253800099995
23,O=C1C=C[C](C=C1)c1ccccc1[C]1NN[N][N]1,1.651731072535
24,[O][N]C(=N)c1ccc2c(c1)NC=CN2,1.665336765060001
25,O=C(N1COCC1)C/C(=C/1\C=C[C]C=C1)/O,1.6789424575850005
26,Cc1cc([CH2])c2c(c1)c1[N]N(C(=O)c1cn2)C,1.6871058731000002
27,O/C(=C/1\C=C[C]C=C1)/C[C@@H](c1cccs1)O,1.7007115656249998
28,O=N(=O)[C](C1=CC=[C]C=C1)Cc1cccs1,1.7115961196449994
29,CCCN(CCC)[CH]C[CH]c1cscc1,1.722480673665
30,O[C](C1=CC=[C]C=C1)CC(=O)CCC(=O)O,1.73608636619
31,[N][N]C1=CC2=Cc3c([C]2C=C1)cccc3,1.7442497817049998
32,O=N(=O)C[C](C1=C[C]=CS1)N,1.75241319722
33,OC[C](C(=O)c1ccccc1)C1=CC=[C]C=C1,1.7660188897449998
34,CC1=CC(=S)C(=S)C=C1,1.7796245822700003
35,OC(=O)[C](C1=CC=[C]C=C1)Cc1nccs1,1.7877879977850002
