,HeatCapacityMolar_composition_average,NdValence_max_value,GSenergy_pa_composition_average,HeatCapacityMolar_arithmetic_average,BCCvolume_pa_arithmetic_average,AtomicRadii_max_value,BCCefflatcnt_arithmetic_average,IonicRadii_composition_average,phi_composition_average,ElectricalConductivity_composition_average,IsBoron_arithmetic_average,ElasticModulus_difference,BCCvolume_padiff_composition_average,ICSDVolume_composition_average,NpUnfilled_arithmetic_average,ThermalExpansionCoefficient_max_value,MeltingT_min_value,GSmagmom_composition_average,AtomicWeight_arithmetic_average,ElectronAffinity_composition_average,IsHexagonal_composition_average,ICSDVolume_arithmetic_average,GSestBCClatcnt_arithmetic_average,GSvolume_pa_max_value,ThermalConductivity_composition_average,target
0,26.636,10.0,-4.582856970668002,26.65333333333333,22.026666666666664,1.766,6.914156373,0.8440000000000001,4.148,6.96,0.3333333333333333,194.0,0.2726666668,21.980000000000004,1.6666666666666667,32.1,429.75,0.23815788,112.81390666666664,70.2,0.4,22.66666666666667,3.445631928666667,30.7333333333,59.08,4.07935
1,26.2365,10.0,-4.1991690475,26.2365,28.82,1.877,7.645652881,0.83,1.585,4.95,0.0,30.0,-2.58875,33.6,1.0,45.0,494.0,0.0,108.932735,122.48,1.0,33.6,3.9615675165,36.8975,7.77,4.07935
2,25.07333333333333,5.0,-6.358233650669999,25.07333333333333,19.08,1.7819999999999998,6.563239899666666,0.7033333333333334,4.12,0.4668,0.0,141.0,-1.8080842913333333,21.366666666666667,1.3333333333333333,21.7,1519.0,0.0001033735632183,80.64963166666666,61.2,0.3333333333333333,21.366666666666667,3.397227956,31.7366666667,55.64000000000001,4.97254
3,30.523000000000003,0.0,-2.0929586125,30.523000000000003,60.46,2.67,7.974904496500001,1.64,3.575,2.65,0.0,0.0,-0.73,49.75,0.0,100.0,14.01,0.0,66.95669595,59.145,0.5,49.75,4.252801001,115.765,18.04075,4.97254
4,25.069000000000003,10.0,-3.363100125,24.971,17.763333333333332,1.444,6.568074802666668,0.6725,2.1375,29.15,0.3333333333333333,60.0,-2.7975,23.3,2.333333333333333,45.0,494.0,0.0,71.26991286666666,140.155,0.5,21.133333333333333,3.377132448666667,25.92,167.52,5.22674
5,26.70666666666667,10.0,-4.628118202223334,26.70666666666667,24.559999999999995,1.7819999999999998,7.239432343666668,0.86,4.3533333333333335,4.5,0.0,70.0,-1.342222222333333,25.6,1.0,11.8,903.78,0.0,129.03511666666668,70.33333333333333,0.3333333333333333,25.6,3.678842214666667,31.7366666667,35.73333333333333,5.22674
6,24.87066666666667,10.0,-4.316842076666667,24.87066666666667,22.62,1.81,7.054313099,0.77,3.533333333333333,4.500001,0.0,105.0,-1.3677777776666664,25.566666666666663,1.3333333333333333,46.0,453.69,0.0,56.16228333333334,59.93333333333334,0.3333333333333333,25.566666666666663,3.604009735,32.365,53.93333333333334,0.976334
7,24.23,10.0,-3.83783313125,24.23,16.94333333333333,1.444,6.466671627333334,0.6733333333333333,3.05,22.23333333333333,0.0,61.0,-4.487291666666667,21.4,1.6666666666666663,70.0,388.36,0.0,71.61826666666667,134.3733333333333,0.0,21.4,3.4861498190000004,25.786875,159.75633333333332,0.976334
8,23.566666666666663,8.0,-7.54428762,23.566666666666663,16.80666666666667,1.564,6.4237946610000005,0.5866666666666667,4.566666666666666,8.800133333333337,0.0,191.0,-1.9533333333333327,17.966666666666665,1.3333333333333333,8.2,1687.0,0.0,103.16033333333334,84.53333333333333,0.3333333333333333,17.966666666666665,3.3320662236666667,22.2,107.0,1.29014
9,26.906666666666663,10.0,-4.419648461666666,26.906666666666663,23.39333333333333,1.757,7.141401159999999,0.8099999999999999,4.256666666666667,4.666666666666666,0.3333333333333333,161.0,0.105,23.933333333333334,1.6666666666666667,32.1,429.75,0.0,159.0536666666667,94.76666666666668,0.3333333333333333,23.933333333333334,3.565360419666667,30.585,55.83333333333333,1.29014
