,nAtom,SpMax_D,VMcGowan,ATS0se,NsCH3,SsOH,LogEE_D,ETA_shape_p,StCH,WPol,ATS5v,NsNH2,BalabanJ,SaaN,AATSC1p,NaaCH,Xch-3dv,ATSC1m,SlogP_VSA1,ATSC1dv,target
0,3,0.0,16.730000000000004,26.788644,0,0.0,0.6931471805599453,0.0,0.0,0,0.0,0,0.0,0.0,-0.004062429522,0,0.0,-99.880036,0.0,-7.111111111111112,6.002
1,4,5.162277660168382,41.8,35.484303999999995,0,0.0,5.173116539955509,0.4444444444444445,0.0,1,0.0,0,1.9747448713915892,0.0,-0.0270749999999999,0,0.0,-0.9960040000000022,0.0,-0.25,10.398
2,5,5.162277660168382,41.99000000000001,45.352848,0,0.0,5.173116539955509,0.4230769230769231,0.0,1,0.0,0,1.9747448713915892,0.0,-0.0595949161684898,0,0.0,-1.0076144400000038,0.0,1.04,11.329
3,5,6.605551275463986,31.99,71.540516,0,0.0,6.608188235265334,0.6956521739130435,0.0,0,0.0,0,3.0237157840738176,0.0,-0.1982030399999999,0,0.0,-31.24723422679697,0.0,-5.759999999999997,12.639
4,7,5.162277660168379,46.290000000000006,58.78977599999999,0,7.513888888888889,5.173116539955506,0.4230769230769231,0.0,1,0.0,0,1.9747448713915892,0.0,-0.0140703320804115,0,0.0,-43.38855022448983,0.0,-1.5102040816326523,13.845
5,11,5.645751311064592,51.37000000000006,83.824564,0,0.0,5.655702529517475,0.0,0.0,0,0.0,0,2.1908902300206643,0.0,-0.0126207191800523,0,0.0,54.28804082644632,0.0,9.752066115702476,14.648
6,9,9.000000000000004,59.31000000000002,73.38184799999999,0,0.0,9.000420061762544,0.0,0.0,3,0.0,0,2.0,10.131944444444445,-0.0274364433333332,3,0.0,25.94600400000006,0.0,10.000000000000002,14.974
7,11,4.099647729675862,52.25000000000006,79.852432,1,0.0,4.131441995746963,0.2631578947368421,0.0,0,0.0,0,2.171098317873574,0.0,-0.0715321641322314,0,0.2236067977499789,27.22725454545441,0.0,6.27272727272727,15.298
8,10,6.538120588189746,53.82000000000005,79.76722,0,0.0,6.541753343870359,0.1791044776119403,0.0,1,62.16748886186053,0,2.079672386506784,0.0,-0.0356262242999999,0,0.0,7.378162400000043,0.0,10.000000000000004,15.51
9,8,5.16227766016838,50.40000000000003,62.84712,0,7.638888888888889,5.173116539955507,0.4545454545454545,4.527777777777778,1,31.083744430930263,0,1.9747448713915892,0.0,-0.0044303489588927,0,0.0,-48.95800899999998,0.0,-4.5625,15.855
10,8,8.288215751900177,56.080000000000034,66.330292,0,0.0,8.288774052044316,0.3283582089552239,0.0,2,0.0,0,2.19060968716425,0.0,-0.04415476017777,0,0.0,-11.411728515624974,0.0,5.75,16.279
11,11,8.074065501057918,57.05000000000004,87.30773599999999,0,0.0,8.074971850951927,0.0,0.0,1,62.16748886186053,0,2.094859574510658,0.0,-0.0416221472787706,0,0.2357022603955158,46.54095458677692,0.0,9.0,16.529
12,9,8.821870029750562,55.39000000000004,79.19304799999999,0,8.26736111111111,8.82227463687127,0.131578947368421,0.0,2,31.083744430930263,0,2.1841055696360683,6.57175925925926,0.0153317788395061,1,0.0,-27.23491155555552,0.0,0.1111111111111124,16.703
13,9,8.821870029750567,55.39000000000001,79.19304799999999,0,0.0,8.822274636871276,0.1578947368421052,0.0,2,62.16748886186053,1,2.184105569636068,6.625,-0.0351121862716049,1,0.0,-5.32491955555551,5.733667477162185,11.000000000000004,16.859
14,8,7.459294270913422,56.080000000000034,66.330292,1,0.0,7.460499637077913,0.5522388059701493,0.0,2,0.0,0,2.5395388613593903,0.0,-0.04415476017777,0,0.0,-11.411728515624974,0.0,20.25,16.963
15,10,5.16227766016838,58.62000000000005,70.472848,1,0.0,5.173116539955507,0.5,4.777777777777778,1,93.2512332927908,0,1.9747448713915892,0.0,-0.04025697139396,0,0.0,-43.583763240000025,0.0,5.0,17.13
16,9,12.170449634088955,61.070000000000014,82.663384,0,0.0,12.170468520160018,0.0956937799043062,0.0,5,31.083744430930263,0,2.1229179499593664,9.580092592592592,-0.0658542955555555,2,0.0,9.99237307093334,0.0,5.555555555555556,17.226
17,8,12.646764559569077,60.87999999999999,73.29663599999999,0,0.0,12.646774418859131,0.1318681318681318,0.0,4,0.0,0,2.139963318649365,6.371898148148148,0.0113296303749999,1,0.0,16.944528499999997,0.0,7.0,17.407
18,12,8.424428900898047,57.24000000000004,97.17628,0,0.0,8.425154711259404,0.0,0.0,2,124.33497772372104,0,2.027741323436114,0.0,-0.0541738370007671,0,0.0,61.97353936111125,0.0,7.361111111111111,17.525
19,11,8.82187002975057,63.61000000000004,87.30773599999999,0,0.0,8.82227463687128,0.1463414634146341,0.0,2,93.2512332927908,0,2.184105569636068,0.0,-0.0247173094214876,0,0.0,4.710876000000049,0.0,7.0,17.709
20,10,8.82187002975057,59.50000000000003,83.25039199999999,1,0.0,8.82227463687128,0.189873417721519,0.0,2,0.0,0,2.184105569636068,6.69675925925926,-0.0389322262399999,1,0.0,40.69760000000008,0.0,29.800000000000004,17.814
21,14,7.772001872658767,62.820000000000064,98.990808,0,0.0,7.773481697309278,0.0,0.0,1,124.33497772372104,0,2.1507624042150817,0.0,0.0410785422387346,0,0.0,79.06351608163288,0.0,7.755102040816325,17.897
22,10,8.821870029750567,59.50000000000003,82.76143199999999,0,0.0,8.822274636871276,0.1538461538461538,0.0,2,62.16748886186053,1,2.184105569636068,6.988425925925926,-0.0111763205999999,1,0.0,-18.75481519999998,5.733667477162185,6.799999999999999,17.921
23,9,7.45929427091343,56.27000000000003,75.709876,0,0.0,7.460499637077921,0.53125,0.0,2,0.0,1,2.5395388613593908,0.0,0.0154989025376789,0,0.0,-57.94113041975305,5.733667477162185,-0.2716049382716059,17.972
24,10,8.821870029750562,59.50000000000003,82.76143199999999,0,0.0,8.82227463687127,0.1538461538461538,0.0,2,62.16748886186053,1,2.1841055696360683,6.918981481481481,0.0213136794,1,0.0,-14.77079919999997,5.733667477162185,7.799999999999998,18.02
