,SdssC,IC0,BIC3,Xc-5d,nO,SRW09,SIC3,NdO,BIC4,GGI4,JGI10,AETA_beta_ns_d,GhoseFilter,n6ARing,C3SP2,RotRatio,nG12FARing,SlogP_VSA4,Lipinski,SlogP_VSA8,target
0,3.373806131472077,1.2069084251518167,0.7266904949199204,0.8199072360665389,0,0.0,0.7685783476265621,0,0.813999852459936,1.155555555555556,0.0069699520457096,0.0,False,0,5,0.1071428571428571,0,0.0,False,23.278943197061757,1.8202407
1,3.3839530552553643,1.3318495715684096,0.7266904949199204,0.8199072360665389,0,0.0,0.7685783476265621,0,0.813999852459936,1.155555555555556,0.0069699520457096,0.0,False,0,4,0.1428571428571428,0,0.0,False,23.278943197061757,2.20412
2,3.373956286218191,1.2326602568158205,0.699335865576738,0.3868945341743197,0,0.0,0.7554779969856077,0,0.8660025322434045,0.8444444444444447,0.0018829247479385,0.0,True,0,4,0.125,0,0.0,False,23.278943197061757,1.8129133
3,3.2219052343159484,1.3849586277872934,0.7517299169044169,0.7365739027332057,1,0.0,0.7900156777110281,0,0.7794270440823695,1.2044444444444449,0.009297520661157,0.0238095238095238,True,0,3,0.0909090909090909,0,0.0,True,12.152040213667762,1.3617278
4,3.3480639802217187,1.372905595320056,0.7127633807683987,2.5472340745130277,1,0.0,0.7345523884016688,0,0.7291905857646037,1.884444444444445,0.0097670924117205,0.0178571428571428,False,0,3,0.1379310344827586,0,0.0,False,12.152040213667762,2.3222194
5,3.4081183862433866,1.2448406699719212,0.7212267559548915,0.7365739027332057,0,0.0,0.7591074115787098,0,0.772466039151441,1.0133333333333336,0.00886206946813,0.0,True,0,3,0.0952380952380952,0,0.0,True,12.152040213667762,2.8661969
6,3.4161139455782314,1.2582296369090873,0.7753833819320365,0.470227867507653,0,0.0,0.8202775130286144,0,0.8320121153154455,0.9733333333333336,0.0074482195694316,0.0,True,0,3,0.15,0,0.0,True,12.152040213667762,2.1760912
7,3.435323811623415,1.2448406699719212,0.828562742903617,0.3035612008409863,0,0.0,0.8720809563746397,0,0.8798020261001667,0.9333333333333336,0.002944305974609,0.0,True,0,3,0.238095238095238,0,0.0,True,12.152040213667762,1.0413927
8,3.439166627299068,1.3698151284300626,0.7368299102532426,0.3035612008409863,0,0.0,0.7721971055010451,0,0.7835490349460337,1.2533333333333336,0.0096362049224002,0.0,True,0,3,0.1818181818181818,0,0.0,False,12.152040213667762,1.6434526
9,3.0588420414462085,1.5749523572407695,0.7436123935981938,2.114221372620808,1,0.0,0.7732229345332027,0,0.7651368228224561,1.764444444444445,0.01135725946332,0.04,False,0,2,0.1538461538461538,0,5.817220841045895,False,12.152040213667762,1.7344689
10,2.9263529856387,1.657265338157648,0.7568051062753326,1.169586604625425,3,0.0,0.8000496907841063,2,0.7818658296441835,1.3244444444444443,0.0076814319238561,0.0,True,0,3,0.12,0,0.0,True,12.152040213667762,1.0413927
11,2.4379506802721096,1.968873874720721,0.7187057579889368,1.169586604625425,6,0.0,0.7803134698574336,4,0.7187057579889368,1.3244444444444443,0.0076814319238561,0.0,True,0,2,0.16,0,0.0,True,12.152040213667762,-0.55284196
12,3.40721300348014,1.2804125884973652,0.7127180385621782,1.2529199379587586,0,0.0,0.7444554413066278,0,0.766743546693219,1.4666666666666668,0.0071820532953602,0.0,False,0,5,0.125,0,0.0,False,23.278943197061757,2.39794
13,3.3748339474678763,1.439525179119997,0.7127633807683987,2.5472340745130277,1,0.0,0.7345523884016688,0,0.7291905857646037,1.884444444444445,0.0097670924117205,0.0178571428571428,False,0,2,0.1724137931034483,0,0.0,False,12.152040213667762,2.5910647
14,3.434888353489544,1.3914665048326014,0.7212267559548915,0.7365739027332057,0,0.0,0.7591074115787098,0,0.772466039151441,1.0133333333333336,0.00886206946813,0.0,True,0,2,0.1428571428571428,0,0.0,True,12.152040213667762,2.7403626
