,ATS0Z,nHeavyAtom,nF,nHetero,nO,SZ,ATS0dv,ATS0m,ATSC0se,SsF,AATS0se,AMID_X,ATSC0i,SM1_Dzp,ATS2dv,ATS3dv,ATS0s,ATS4dv,SM1_DzZ,AATS1se,target
0,596.0,9,6,6,0,12.333333333333332,330.0,2600.4604358986207,4.748832,64.98958333333333,12.005316,1.1110088984322124,81.08047874473468,-11.989228007181328,394.0,168.0,391.375,441.0,2.0,9.522029600000002,-714.6021
1,522.0,9,3,5,2,12.333333333333334,230.0,2178.92290644931,5.266862999999999,33.82513888888889,9.4934215,0.5561487636020652,65.4540164978929,-8.159202532268967,264.0,180.0,278.84027777777777,87.0,1.5,8.678120799999999,-606.559
2,520.0,9,3,5,2,11.999999999999996,250.0,2176.8907784493103,4.833851428571427,33.68722222222222,9.889844,0.5552231631031275,65.41237042430033,-8.159202532268967,293.0,252.0,292.11805555555554,147.0,1.5,8.737154769230772,-605.3843
3,520.0,9,3,5,2,11.999999999999996,254.0,2176.8907784493103,4.833851428571427,34.093472222222225,9.889844,0.5575870051380829,65.41237042430033,-8.159202532268967,285.0,256.0,269.59027777777777,153.0,1.5,8.74791107692308,-605.35406
4,518.0,9,3,5,2,11.666666666666664,264.0,2174.8586504493105,4.256502666666666,33.34,10.418407333333333,0.5568180435824632,65.35684232617686,-8.159202532268967,265.0,168.0,303.59027777777777,213.0,1.5,8.81765563636364,-604.182
5,516.0,9,3,6,1,11.666666666666666,256.0,2167.0186264493104,3.843666666666666,33.3886111111111,10.377660666666666,0.5552231631031275,58.66940407586021,-8.113271904293452,335.0,280.0,292.11805555555554,147.0,1.535714285714286,9.131355272727276,-600.35333
6,508.0,9,3,5,1,12.333333333333334,218.0,2120.1670184493105,5.044150117647058,34.49472222222222,9.144889882352942,0.5575870051380829,66.06411930423101,-7.595090086111632,260.0,172.0,251.84027777777777,131.0,1.3928571428571432,8.504010749999999,-586.67285
7,506.0,9,3,5,1,11.999999999999996,236.0,2118.1348904493098,4.7123696,33.58291666666666,9.468413333333334,0.5571526835726623,65.9899207314297,-7.595090086111634,255.0,152.0,245.84027777777777,104.0,1.3928571428571432,8.624180857142859,-585.49567
8,506.0,9,3,5,1,11.999999999999996,234.0,2118.1348904493098,4.7123696,33.903333333333336,9.468413333333334,0.5568180435824632,65.9899207314297,-7.595090086111634,242.0,123.0,253.59027777777777,146.0,1.3928571428571432,8.64817685714286,-585.4589
9,504.0,9,3,5,1,11.666666666666664,242.0,2116.1027624493104,4.278502769230768,33.70513888888889,9.89148246153846,0.5561487636020652,65.89289182853568,-7.595090086111634,270.0,198.0,279.84027777777777,129.0,1.3928571428571432,8.76685166666667,-584.2979
10,504.0,9,3,5,1,11.666666666666666,246.0,2116.1027624493104,4.278502769230769,34.43180555555556,9.89148246153846,0.5575616478267867,65.89289182853567,-7.595090086111634,283.0,189.0,258.59027777777777,87.0,1.3928571428571428,8.680739692307695,-584.2746
11,502.0,9,3,5,1,11.33333333333333,256.0,2114.0706344493105,3.686866181818181,33.103750000000005,10.468394909090907,0.5571526835726623,65.7605796882256,-7.595090086111632,317.0,136.0,275.84027777777777,120.0,1.3928571428571428,9.0935852,-583.07916
12,498.0,9,3,6,0,11.0,270.0,2104.19848244931,2.4228560000000003,35.05833333333333,11.247383999999998,0.5824285857414923,57.03876037999996,-7.549159458136119,333.0,228.0,227.3333333333333,252.0,1.4285714285714288,9.508482666666668,-578.11786
13,496.0,9,3,4,1,12.333333333333332,210.0,2069.2511544493104,5.156308444444444,34.75125,8.862248444444447,0.5542406956373598,71.20988845296489,-7.076908267929815,284.0,178.0,250.375,21.0,1.25,8.209421882352942,-570.6431
14,496.0,9,3,4,1,12.333333333333332,206.0,2069.2511544493104,5.156308444444444,34.57513888888889,8.862248444444447,0.5561487636020652,71.20988845296489,-7.076908267929815,240.0,88.0,248.84027777777777,67.0,1.25,8.209421882352942,-570.6361
15,494.0,9,1,6,4,11.0,266.0,2013.79974014977,1.909792,11.637083333333331,11.358894222222222,0.1942420145035193,31.37733412999998,-6.84556354340198,335.0,304.0,203.83333333333331,124.0,1.4761904761904765,9.903948444444444,-569.74945
16,494.0,9,3,4,1,12.0,222.0,2067.2190264493106,4.901619999999999,34.468472222222225,9.1302215,0.5575870051380829,71.2096161012054,-7.076908267929815,257.0,148.0,261.59027777777777,153.0,1.25,8.198091466666668,-569.44666
17,494.0,9,3,4,1,12.0,218.0,2067.2190264493106,4.901619999999999,34.87625,9.1302215,0.555300358805901,71.2096161012054,-7.076908267929815,302.0,219.0,246.15277777777777,21.0,1.25,8.304089,-569.4189
18,494.0,9,3,4,1,12.0,220.0,2067.2190264493106,4.901619999999999,34.16458333333333,9.1302215,0.5575739347655777,71.20961610120538,-7.0769082679298165,219.0,70.0,221.34027777777777,95.0,1.25,8.3128285,-569.41376
19,494.0,9,3,4,1,12.0,224.0,2067.21902644931,4.901619999999999,35.31375,9.1302215,0.5555044492161062,71.2096161012054,-7.076908267929815,299.0,218.0,222.875,21.0,1.25,8.3128285,-569.4039
20,492.0,9,3,4,1,11.666666666666664,230.0,2065.1868984493103,4.574163428571429,33.850972222222225,9.474758285714286,0.5561487636020652,71.2092659346575,-7.076908267929815,282.0,228.0,252.84027777777777,93.0,1.25,8.545357230769234,-568.2028
21,492.0,9,3,4,1,11.666666666666664,232.0,2065.1868984493103,4.574163428571429,35.540000000000006,9.474758285714286,0.5583654982857553,71.2092659346575,-7.0769082679298165,305.0,171.0,218.65277777777777,126.0,1.25,8.420700533333335,-568.17926
22,490.0,9,3,4,1,11.33333333333333,242.0,2063.15477044931,4.137554666666666,34.68361111111111,9.934140666666666,0.5608847394030337,71.20879904592687,-7.076908267929815,327.0,162.0,223.59027777777777,189.0,1.25,8.711227333333335,-567.0521
23,490.0,9,3,4,1,11.33333333333333,242.0,2063.1547704493105,4.137554666666666,34.371805555555554,9.934140666666666,0.5575616478267867,71.20879904592685,-7.0769082679298165,291.0,232.0,234.61805555555557,96.0,1.25,8.711227333333335,-566.96
24,492.0,9,3,5,0,12.000000000000002,210.0,2059.379002449311,4.483943,34.72472222222222,9.0996615,0.5557848313603478,66.4997674982554,-7.030977639954299,261.0,168.0,228.61805555555557,126.0,1.285714285714286,8.4495495,-565.5744
25,490.0,9,3,5,0,11.666666666666664,228.0,2057.3468744493102,4.157782857142857,34.42111111111111,9.43983257142857,0.5557848313603478,66.35749454265746,-7.0309776399543,303.0,221.0,234.84027777777777,84.0,1.2857142857142858,8.56180742857143,-564.3738
26,486.0,9,3,5,0,11.0,254.0,2053.2826184493106,3.1140704,35.36407407407407,10.52838,0.5820815516775821,65.90222108474406,-7.030977639954299,287.0,268.0,223.3333333333333,140.0,1.285714285714286,9.023356,-562.0398
27,484.0,9,2,5,2,10.999999999999998,252.0,2008.0832472995403,2.8857876,23.56634259259259,10.5785596,0.388211359385395,51.94214436662407,-6.679179682587231,296.0,280.0,211.5833333333333,116.0,1.3095238095238098,9.1809764,-557.8793
28,484.0,9,2,5,2,10.999999999999998,252.0,2008.0832472995403,2.8857876,23.715462962962963,10.5785596,0.3878891134689071,51.94214436662407,-6.679179682587231,271.0,328.0,211.5833333333333,141.0,1.3095238095238098,9.2216548,-557.8113
29,482.0,9,2,6,1,11.0,248.0,2000.24322329954,2.4738004,23.814351851851853,10.5296636,0.3878891134689071,47.08114022116407,-6.633249054611715,287.0,300.0,192.5833333333333,143.0,1.3452380952380951,9.4981804,-553.93695
30,482.0,9,3,4,0,12.333333333333332,198.0,2010.4952664493103,4.780206736842104,34.35416666666667,8.583624000000002,0.5568180435824632,72.06000302960048,-6.512795821772482,222.0,120.0,220.0625,67.0,1.142857142857143,8.084529111111113,-550.74304
31,480.0,9,1,6,3,11.0,246.0,1955.04385214977,2.243192,11.80425925925926,10.5798432,0.1939693448818757,32.61976175104408,-6.281451097244647,311.0,286.0,180.8333333333333,104.0,1.369047619047619,9.6151224,-549.8564
32,480.0,9,3,4,0,12.000000000000002,204.0,2008.4631384493105,4.586304470588235,34.65479166666667,8.803054588235296,0.5561363260054792,72.05681081493688,-6.512795821772482,225.0,112.0,217.875,147.0,1.1428571428571428,8.162222588235293,-549.53595
33,480.0,9,3,4,0,12.0,204.0,2008.4631384493105,4.586304470588235,34.45583333333333,8.803054588235296,0.5586775363113964,72.05681081493688,-6.512795821772482,231.0,125.0,214.5625,92.0,1.142857142857143,8.166280941176472,-549.5267
34,478.0,9,3,4,0,11.666666666666664,216.0,2006.4310104493095,4.3406949333333325,33.80869897959184,9.081,0.5578468839468658,72.05276734302967,-6.512795821772482,219.0,68.0,248.5625,68.0,1.142857142857143,8.185041428571433,-548.3786
35,478.0,9,3,4,0,11.666666666666664,212.0,2006.43101044931,4.3406949333333325,35.5925,9.081,0.5583654982857553,72.05276734302967,-6.512795821772482,299.0,197.0,213.65277777777777,42.0,1.1428571428571428,8.253939750000002,-548.3036
36,470.0,8,3,5,1,10.999999999999996,210.0,1973.87076944931,4.628609428571428,33.49347222222222,9.606120285714283,0.6240493373243035,59.06009747058937,-7.595090086111634,251.0,140.0,255.59027777777777,105.0,1.3928571428571428,8.786107692307697,-547.3883
37,468.0,8,3,5,1,10.666666666666664,228.0,1971.8386414493104,4.1485796666666666,33.04291666666667,10.087396333333333,0.626364228144209,58.71116439705563,-7.595090086111634,243.0,146.0,241.0625,79.0,1.3928571428571428,8.996613818181821,-546.19135
38,478.0,9,0,6,5,11.0,246.0,1909.844481,2.0099844,0.0,10.6300228,0.0,13.701192752924095,-5.929653139877578,312.0,171.0,154.30555555555554,132.0,1.3928571428571428,9.779642,-545.7516
39,472.0,9,2,4,2,10.999999999999998,236.0,1957.16738329954,3.375186909090909,23.83560185185185,9.985721818181815,0.3878395371740628,55.13017216828014,-6.160997864405413,246.0,252.0,207.5833333333333,136.0,1.1666666666666667,8.769725454545455,-541.8234
