,IsNonmetal_composition_average,Density_max_value,ShearModulus_arithmetic_average,MeltingT_composition_average,NpValence_composition_average,Density_arithmetic_average,ThirdIonizationEnergy_composition_average,IsMetal_arithmetic_average,NpUnfilled_composition_average,BCCenergy_pa_composition_average,Density_composition_average,NUnfilled_composition_average,IsAlkali_composition_average,ThermalExpansionCoefficient_arithmetic_average,ShearModulus_composition_average,NpValence_arithmetic_average,GSenergy_pa_arithmetic_average,AtomicVolume_difference,BCCenergy_pa_arithmetic_average,BCCfermi_composition_average,IsNonmetal_arithmetic_average,IsMetal_composition_average,BCCvolume_padiff_composition_average,IsCarbon_composition_average,AtomicVolume_arithmetic_average,target
0,0.0,13534.0,11.666666666666664,532.4749999999998,2.0,9474.666666666666,31.5727,0.6666666666666666,1.0,-1.584050902,9154.4,1.0,0.0,32.86666666666667,10.85,1.3333333333333333,-1.401194098028,12.3766632667522,-1.2447628066666665,5.7135491375,0.0,0.5,-4.226071838949999,0.0,26.716152082657462,0.35
1,0.5,8920.0,24.0,811.785,2.5,6020.0,36.415,0.5,0.5,-2.320759535,6020.0,1.0,0.0,8.25,24.0,2.5,-2.63184007875,30.6978833923386,-2.320759535,3.192977355,0.5,0.5,-1.955,0.0,27.1788836280692,0.35
2,0.5,9841.0,13.5,1126.65,1.5,5832.0,25.5685,0.5,1.5,-4.533972555,5832.0,6.0,0.0,67.6,13.5,1.5,-4.96175453125,1.3099100914276995,-4.533972555,6.5175167950000015,0.5,0.5,-3.9626190475,0.0,28.86907686235505,3.077
3,0.5,8920.0,23.9,869.13625,2.375,6812.0,32.38375,0.6666666666666666,1.375,-3.30269267625,6591.625,1.75,0.0,24.166666666666664,22.35,2.333333333333333,-3.75626969,18.3614815118892,-3.47784784,5.496552899999998,0.3333333333333333,0.5,-3.43,0.0,23.076723333838878,3.077
4,0.5,7140.0,21.5,373.74,2.0,3570.7145,47.328,0.5,1.0,-1.808421555,3570.7145,1.0,0.0,405.1,21.5,2.0,-2.99839591,18576.9914827546,-1.808421555,3.49430339,0.5,0.5,-0.7875,0.0,9303.701425112102,1.3
5,0.0,21090.0,40.5,1282.986666666667,2.0,13893.5,16.866666666666667,1.0,2.0,-4.56832275,11494.666666666668,2.6666666666666665,0.0,9.9,33.666666666666664,1.5,-5.072936009999999,14.8309599370549,-4.90752656,8.16613847,0.0,1.0,-2.9633333333333334,0.0,22.77594347526165,1.3
6,0.5714285714285714,7310.0,14.333333333333336,443.66,2.5714285714285707,5469.999999999999,33.586,0.6666666666666666,2.5714285714285707,-2.6394369057142857,4228.571428571428,2.5714285714285707,0.0,44.1,6.142857142857142,1.6666666666666663,-2.6680061979166667,11.9608620598687,-2.2712619233333333,7.396278951428571,0.3333333333333333,0.4285714285714285,-5.732499999999999,0.0,22.818295896620803,0.4
7,0.0,8650.0,12.1,594.04,1.7777777777777777,5248.666666666667,35.08,0.6666666666666666,0.8888888888888888,-1.7500580888888888,5846.88888888889,1.1111111111111112,0.2222222222222222,43.86666666666667,13.733333333333333,1.3333333333333333,-1.6836721483333332,54.2678392272829,-1.5569911533333332,4.837597937777779,0.0,0.5555555555555556,-3.044629629555556,0.0,43.79485962047335,0.4
8,0.5833333333333334,7310.0,8.325,479.64166666666665,2.583333333333333,4203.75,34.27525,0.75,1.6666666666666667,-3.0031430358333333,3035.875,4.583333333333333,0.1666666666666666,44.8,4.216666666666667,1.5,-3.4830932930200005,48.8810794210133,-3.1623530175,6.109105965416666,0.25,0.4166666666666666,-7.151579861166666,0.125,41.1914243045369,3.4360000000000004
9,0.5714285714285714,11340.0,30.15,530.3457142857144,2.952380952380952,5235.35725,45.60409523809525,0.5,2.761904761904762,-3.3548255638095243,3815.102285714285,3.0476190476190474,0.0,204.6,7.076190476190477,1.75,-6.142309052292499,18584.89939922412,-5.128441255,5.485698982380953,0.25,0.3333333333333333,-1.1707142857142856,0.2857142857142857,4660.48232356033,3.4360000000000004
