,nBase,SsssCH,IC3,NaasC,GATS5c,PEOE_VSA7,SlogP_VSA6,SpDiam_A,GATS7c,SssO,NssNH2,ATSC7c,n10FaHRing,NtsC,EState_VSA8,NsssNH,PEOE_VSA10,GATS4s,NdNH,ATSC4p,target
0,0,-0.0421265962934715,5.391297812895317,5,1.171287617347752,80.4865836400227,48.53093654769288,4.886076423001256,1.0432584691310036,5.762677647337893,0,-0.2260755853483816,1,0,67.47018113479507,0,5.817862777835028,1.3197135722982314,0,0.4995882679699377,9.1549015
1,1,-3.123163813229884,6.045582930739522,4,1.2760682235875664,67.70247290403466,48.53093654769288,4.903850147939854,1.3110396538004052,5.9059104277608,1,-0.925570171857031,0,0,10.633577208012662,0,48.00973777418023,0.953394251561872,0,3.0894729134036587,8.853872
2,1,-1.3950159963676854,5.842755404039063,6,1.0627609895444945,48.23401450309245,72.9268813246908,5.012523524341287,1.2488758419720731,5.311902148263966,1,-0.2682481897840002,0,0,5.316788604006331,0,24.94299103285736,1.3340167490952366,0,-3.5063588922778197,8.69897
3,1,-4.905726741088152,5.534236602361013,6,1.1013612830908497,48.08555348079223,36.39820241076966,4.886653732813259,1.1182244608186824,9.890504068022931,1,-0.3080982787100583,0,0,26.83757866753348,0,41.69753617856899,0.8151521004885189,0,-0.9521306142462516,8.69897
4,1,-1.7640984294952569,5.793619813556233,6,1.116308461209271,48.23401450309245,72.9268813246908,5.0125391544077775,1.3106527525814278,0.0,1,-0.438366795152966,0,0,5.316788604006331,0,19.193479199573453,1.0415528203517077,0,-1.8789881921789555,8.69897
5,1,-6.404831633692178,5.26532476007551,6,0.9584347925385218,41.16181628110161,36.39820241076966,4.880553552309371,1.01078985019348,4.131229547695894,1,-0.1094464809880996,0,0,25.50807455287192,0,35.9446825718222,0.4395596773631745,0,0.3347042506299892,8.69897
6,1,-3.743491092289865,6.078638720860856,6,1.348783094516515,54.65483612601845,66.99099075938065,4.7170791358709465,1.4467366202232312,0.0,1,-0.3387875760419678,0,0,28.607659997112105,0,36.86976171081321,0.980885290711982,0,-1.869911100147733,8.69897
7,2,0.0,5.627346915120898,9,1.2072964177987011,50.60013136461531,77.98237151506554,5.162596727474256,1.109618651545952,0.0,0,-0.1792758671702205,0,2,27.883618959755776,0,11.38067233274289,1.1378141882503503,0,0.752501064671341,8.61261
8,1,-1.0444688150487225,5.9081130758991725,6,1.259789629306633,86.25602866388391,65.58868437183939,5.042138855114359,1.1616865586342235,6.510114325609456,1,-0.0860689400490603,0,0,60.02188388693455,0,30.04112626707643,1.1296692723842672,0,-0.8343045115747181,8.60206
9,1,-0.3533538270805141,5.775507735746163,3,1.2246164181357535,81.40148628111571,54.59730361615449,4.90611202567306,1.4357953511149124,0.0,1,-0.5985861511147686,0,0,79.6266381483953,0,19.193479199573453,1.274032953870618,0,-4.669888014519262,8.60206
