,nHBDon,TopoPSA(NO),SlogP_VSA10,SlogP_VSA2,SMR_VSA3,BCUTv-1l,ATSC2d,ATSC1are,SlogP_VSA5,NddsN,GATS1se,ATSC1v,SaaNH,NsssN,ETA_epsilon_5,SaaN,nFHRing,VSA_EState8,IC1,NssO,target
0,0,29.540000000000003,0.0,32.0122309668339,4.899909730850478,14.702493976549682,-2.75,0.1094692307692298,10.357988675768818,0,0.754805738612561,-128.94877580213523,0.0,1,0.8487179487179487,0.0,0,0.0,2.910850294564906,1,-11.01
1,0,34.14,0.0,14.673566167840342,0.0,14.702158151449709,-1.6875,-0.1383015625000006,0.0,0,0.4137416918894652,-5.013837755191837,0.0,0,1.197142857142857,0.0,0,0.0,2.1556390622295662,0,-4.87
2,0,0.0,0.0,0.0,0.0,20.33373779080176,-3.2400000000000007,-0.0399999999999991,13.847474399381248,0,1.4999999999999998,-100.05662819520984,0.0,0,0.7,0.0,0,7.768518518518518,2.146465798504072,0,1.83
3,0,25.78,0.0,9.967957041894415,9.967957041894415,15.588358439016172,-0.5,0.0897750000000008,12.617665194539086,0,0.7965604026845637,-80.93865732410612,0.0,0,0.8,7.927731481481482,0,2.059537037037037,2.7272170014624826,0,-5.45
4,1,20.23,0.0,11.713409359353625,0.0,14.708165167967156,-1.8125,-0.166736111111111,39.02784531432067,0,1.0462219842266125,-77.0894591596162,0.0,0,0.7407407407407408,0.0,0,2.5581944444444447,1.6594208586976318,0,-4.21
5,1,20.23,0.0,5.106527394840706,0.0,14.708164160257596,-1.7285318559556773,-0.1947368421052644,11.126902983393991,0,0.9858551469615352,39.90163425231928,0.0,0,0.7366666666666667,0.0,0,3.93,2.720582776146013,0,-6.27
6,0,0.0,0.0,0.0,0.0,20.36712429959888,-5.759999999999998,-0.0441000000000013,27.694948798762496,0,1.666666666666666,-110.31243258521906,0.0,0,0.7000000000000001,0.0,0,8.962962962962964,1.1567796494470397,0,2.34
7,1,20.23,0.0,10.707578205824394,0.0,14.708165259672295,-4.9024943310657605,-0.1708390022675752,33.61285484492389,0,1.0443369858008873,-78.011742895615,0.0,0,0.7458333333333333,0.0,0,5.727152777777778,1.7799077162074428,0,-3.92
8,0,0.0,0.0,0.0,0.0,20.35682721891866,-4.666666666666664,-7.077671781985373e-16,39.53076089108528,0,1.4375000000000002,2.8421709430404014e-14,0.0,0,0.7000000000000001,0.0,0,4.757592592592593,1.4182958340544896,0,1.58
9,1,20.23,0.0,11.210493782589008,0.0,14.708165608989596,-3.0000000000000004,-0.1844444444444441,20.268296022307258,0,1.046261317921053,-80.97945498155485,0.0,0,0.7611111111111111,0.0,0,3.726851851851852,1.871602261409798,0,-4.62
10,0,0.0,0.0,4.239357671196846,0.0,20.575457265367056,0.2399999999999998,-0.0005759999999999,0.0,0,0.5984431698466582,-13.13895467999373,0.0,0,0.7444444444444445,0.0,0,0.0,1.521928094887362,0,-1.96
11,1,20.23,0.0,11.210493782589008,0.0,14.708165331671612,-4.950113378684808,-0.1708390022675752,27.19203322199788,0,1.044336985800887,-78.01174289561503,0.0,0,0.7458333333333333,0.0,0,6.034722222222223,1.8751458114455384,0,-3.88
12,0,12.89,0.0,4.9839785209472085,4.9839785209472085,15.58950861245236,-0.740484429065745,0.0714176470588229,12.617665194539086,0,0.7984219903283278,-41.025589707842656,0.0,0,0.75,4.097222222222222,0,2.099537037037037,2.6542553132150286,0,-4.33
13,0,26.3,0.0,12.576187252464766,0.0,14.701470046866364,-0.6427221172022689,0.0865028355387496,33.10993926815928,0,0.7098990861653498,-149.59500042938836,0.0,0,0.8703703703703705,0.0,0,4.380574452003024,2.0321285252393406,1,-2.49
14,1,0.0,0.0,0.0,0.0,20.28004448110139,-2.6449704142011843,0.0094153846153848,0.0,0,0.9258972259890892,-32.24079813942109,0.0,0,0.6833333333333333,0.0,0,0.0,1.914341183612352,0,-2.55
15,1,20.23,0.0,11.713409359353625,0.0,14.708164694005497,-4.349583828775266,-0.1712960760998811,33.61285484492389,0,1.0408276629092463,-58.32641266280192,0.0,0,0.7305555555555556,0.0,0,6.422509133282944,2.3973518076692533,0,-4.78
16,0,0.0,0.0,0.0,0.0,20.26868148749468,-1.6703601108033246,0.0249307479224351,17.547724606320003,0,0.95,62.36216438759622,0.0,0,0.7000000000000001,0.0,0,0.0,2.378991986900062,0,-1.46
17,0,9.23,0.0,6.606881964512918,0.0,14.706820482160992,0.4819944598337957,0.1052631578947353,6.923737199690624,0,0.8585514696153519,-48.16277967613728,0.0,0,0.7851851851851852,0.0,0,2.7192592592592595,2.4148263859009305,1,-2.22
18,1,20.23,0.0,5.106527394840706,0.0,14.70816439725591,-3.727810650887575,-0.2799999999999998,0.0,0,0.9209636027103708,54.22645433281508,0.0,0,0.7481481481481481,0.0,0,0.0,2.469670487371862,0,-5.85
19,0,0.0,0.0,0.0,0.0,20.357602006030383,-5.449905482041592,-0.0435538752362976,40.53659204461451,0,1.6428571428571432,-108.94634752446278,0.0,0,0.7000000000000001,0.0,0,9.05034722222222,1.306170651709187,0,2.88
20,0,52.6,0.0,25.152374504929533,0.0,14.699762304690774,-2.48,-0.1025000000000008,13.847474399381248,0,0.7816107676248499,-177.11656688125254,0.0,0,1.0066666666666666,0.0,0,2.8664295162509448,2.1609640474436813,2,-6.34
21,0,36.92,0.0,31.51241344861924,0.0,14.705540256310067,7.52468768590125,-1.5501249256394998,27.694948798762496,0,1.206317130847889,-37.077975872519744,0.0,0,0.8964912280701753,0.0,0,9.883183159066094,2.232978940959046,4,-6.1
22,1,20.23,0.0,11.210493782589008,0.0,14.7081651907666,-3.495867768595039,-0.1545454545454575,38.524929737556064,0,0.9937717163475738,30.457574402982388,0.0,0,0.7407407407407408,0.0,0,0.0,1.5678183759027002,0,-5.48
