,ATS0Z,nHeavyAtom,nF,nHetero,nO,SZ,ATS0dv,ATSC0se,ATS0m,SsF,AATS0se,AMID_X,ATSC0i,SM1_Dzp,ATS2dv,ATS4dv,SM1_DzZ,ATS3dv,ATS0s,AATS1se,target
0,596.0,9,6,6,0,12.333333333333332,330.0,4.748832,2600.4604358986207,64.98958333333333,12.005316,1.1110088984322124,81.08047874473468,-11.989228007181328,394.0,441.0,2.0,168.0,391.375,9.522029600000002,-714.5592
1,522.0,9,3,5,2,12.333333333333334,230.0,5.266862999999999,2178.92290644931,33.82513888888889,9.4934215,0.5561487636020652,65.4540164978929,-8.159202532268967,264.0,87.0,1.5,180.0,278.84027777777777,8.678120799999999,-606.5127
2,520.0,9,3,5,2,11.999999999999996,250.0,4.833851428571427,2176.8907784493103,33.68722222222222,9.889844,0.5552231631031275,65.41237042430033,-8.159202532268967,293.0,147.0,1.5,252.0,292.11805555555554,8.737154769230772,-605.3396
3,520.0,9,3,5,2,11.999999999999996,256.0,4.833851428571427,2176.8907784493103,33.619861111111106,9.889844,0.5561487636020652,65.41237042430033,-8.159202532268967,301.0,136.0,1.5,232.0,268.84027777777777,8.74791107692308,-605.3064
4,518.0,9,3,5,2,11.666666666666664,264.0,4.256502666666666,2174.8586504493105,33.34,10.418407333333333,0.5568180435824632,65.35684232617686,-8.159202532268967,265.0,213.0,1.5,168.0,303.59027777777777,8.81765563636364,-604.1369
5,516.0,9,3,6,1,11.666666666666666,256.0,3.843666666666666,2167.0186264493104,33.3886111111111,10.377660666666666,0.5552231631031275,58.66940407586021,-8.113271904293452,335.0,147.0,1.535714285714286,280.0,292.11805555555554,9.131355272727276,-600.30975
6,508.0,9,3,5,1,12.333333333333334,216.0,5.044150117647058,2120.1670184493105,33.70453231292517,9.144889882352942,0.5578468839468658,66.06411930423101,-7.595090086111634,227.0,60.0,1.3928571428571432,116.0,250.5625,8.50401075,-586.6266
7,506.0,9,3,5,1,11.999999999999996,236.0,4.7123696,2118.1348904493098,33.58291666666666,9.468413333333334,0.5571526835726623,65.9899207314297,-7.595090086111634,255.0,104.0,1.3928571428571432,152.0,245.84027777777777,8.624180857142859,-585.4499
8,506.0,9,3,5,1,11.999999999999996,226.0,4.7123696,2118.1348904493098,34.585972222222225,9.468413333333334,0.559508595459662,65.9899207314297,-7.595090086111634,281.0,147.0,1.3928571428571432,195.0,247.61805555555557,8.624628266666669,-585.41376
9,504.0,9,3,5,1,11.666666666666666,246.0,4.278502769230769,2116.1027624493104,34.66722222222222,9.89148246153846,0.5608847394030337,65.89289182853567,-7.595090086111634,314.0,168.0,1.3928571428571428,200.0,226.84027777777777,8.777905846153848,-584.25665
10,504.0,9,3,5,1,11.666666666666666,246.0,4.278502769230769,2116.1027624493104,34.43180555555556,9.89148246153846,0.5575616478267867,65.89289182853567,-7.595090086111634,283.0,87.0,1.3928571428571428,189.0,258.59027777777777,8.680739692307695,-584.2319
11,502.0,9,3,5,1,11.333333333333332,258.0,3.686866181818181,2114.0706344493105,34.56361111111111,10.46839490909091,0.5608847394030337,65.7605796882256,-7.595090086111634,341.0,231.0,1.3928571428571432,170.0,227.59027777777777,9.116754181818182,-583.0329
12,498.0,9,3,6,0,11.0,270.0,2.4228560000000003,2104.19848244931,35.05833333333333,11.247383999999998,0.5824285857414923,57.03876037999996,-7.549159458136119,333.0,252.0,1.4285714285714288,228.0,227.3333333333333,9.508482666666668,-578.0798
13,496.0,9,3,4,1,12.333333333333332,210.0,5.156308444444444,2069.25115444931,34.174791666666664,8.862248444444447,0.5555044492161062,71.20988845296489,-7.0769082679298165,230.0,147.0,1.25,112.0,250.375,8.209421882352942,-570.59686
14,496.0,9,3,4,1,12.333333333333332,206.0,5.156308444444444,2069.2511544493104,34.57513888888889,8.862248444444447,0.5561487636020652,71.20988845296489,-7.076908267929815,240.0,67.0,1.25,88.0,248.84027777777777,8.209421882352942,-570.5891
15,494.0,9,1,6,4,11.0,266.0,1.909792,2013.79974014977,11.637083333333331,11.358894222222222,0.1942420145035193,31.37733412999998,-6.84556354340198,335.0,124.0,1.4761904761904765,304.0,203.83333333333331,9.903948444444444,-569.70953
16,494.0,9,3,4,1,12.0,222.0,4.901619999999999,2067.2190264493106,34.468472222222225,9.1302215,0.5575870051380829,71.2096161012054,-7.076908267929815,257.0,153.0,1.25,148.0,261.59027777777777,8.198091466666668,-569.4006
17,494.0,9,3,4,1,12.0,218.0,4.901619999999999,2067.2190264493106,34.87625,9.1302215,0.555300358805901,71.2096161012054,-7.076908267929815,302.0,21.0,1.25,219.0,246.15277777777777,8.304089,-569.37506
18,494.0,9,3,4,1,12.0,224.0,4.901619999999999,2067.21902644931,35.415,9.1302215,0.5570299347307596,71.2096161012054,-7.076908267929815,283.0,126.0,1.25,135.0,222.875,8.3128285,-569.3694
