,NssssN,GATS1d,VSA_EState6,NtCH,FCSP3,AXp-0d,SssssSi,SMR_VSA6,Xc-4d,AMID_X,C2SP2,VSA_EState8,AMID_O,piPC4,VSA_EState7,NddsN,SlogP_VSA1,GGI2,NdssC,ATS4Z,target
0,0,2.499999999999999,0.0,0,1.0,0.9023689270621824,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,6.8972
1,0,1.9130434782608687,0.0,0,1.0,0.8568914100752346,0.0,0.0,0.0,0.0,0,4.0625,0.0,0.0,1.2453703703703702,0,0.0,0.4444444444444446,0,6.0,6.5196
2,0,1.6470588235294117,0.0,0,1.0,0.8319273052604533,0.0,0.0,0.0,0.0,0,4.023796296296297,0.0,0.6931471805599453,2.799768518518518,0,0.0,0.666666666666667,0,37.0,6.517
3,0,1.627659574468085,0.0,0,1.0,0.814095801821324,0.0,0.0,0.0,0.0,0,4.012222222222222,0.0,1.3862943611198906,4.327870370370371,0,0.0,0.666666666666667,0,96.0,6.7336
4,0,1.707317073170732,0.0,0,1.0,0.8211142625940433,0.0,0.0,0.0,0.0,0,6.3959722222222215,0.0,1.791759469228055,2.846064814814815,0,0.0,0.666666666666667,0,164.0,6.7394
5,0,1.4539473684210522,0.0,0,1.0,0.7478909578906803,0.0,0.0,0.0,0.0,0,1.6970833333333333,0.0,2.5649493574615367,6.246296296296297,0,0.0,0.666666666666667,0,63.0,6.9613
6,0,1.469387755102041,0.0,0,1.0,0.7322047360813986,0.0,0.0,0.0,0.0,0,1.726851851851852,0.0,2.833213344056216,13.860547052154196,0,0.0,0.8888888888888893,0,514.0,6.3703
7,0,1.4999999999999998,0.0,0,0.6,0.7907905579903911,0.0,0.0,0.0,0.0,1,3.9722222222222223,0.0,1.791759469228055,5.233611111111111,0,0.0,0.2222222222222223,0,80.0,4.6373
8,0,1.4999999999999998,0.0,0,0.5,0.8047378541243649,0.0,0.0,0.0,0.0,1,3.935,0.0,1.6094379124341005,3.7604166666666665,0,0.0,0.2222222222222223,0,22.0,5.2133
9,0,1.4999999999999998,0.0,0,0.0,0.8535533905932737,0.0,0.0,0.0,0.0,0,4.722222222222222,0.0,0.0,0.0,0,0.0,0.2222222222222223,0,0.0,1.3994
10,0,1.5853658536585369,0.0,0,1.0,0.8211142625940433,0.0,0.0,0.0,0.0,0,6.483611111111111,0.0,1.6094379124341005,2.7205092592592592,0,0.0,1.1111111111111116,0,166.0,6.6781
11,0,1.5000000000000009,0.0,0,0.8,0.7559223176554565,0.0,0.0,0.0,0.0,1,4.026107720291973,0.0,2.3978952727983707,12.721612260645,0,0.0,0.2222222222222223,0,400.0,5.8277
12,0,1.5000000000000002,0.0,0,0.8333333333333334,0.7489486695884695,0.0,0.0,0.0,0.0,1,4.033759605228241,0.0,2.5649493574615367,15.72412055061541,0,0.0,0.2222222222222223,0,528.0,5.8787
13,0,1.5000000000000002,0.0,0,0.75,0.7656854249492382,0.0,0.0,0.0,0.0,1,4.014212962962963,0.0,2.19722457733622,9.720095663265306,0,0.0,0.2222222222222223,0,272.0,5.8437
14,0,1.5000000000000002,0.0,0,0.6666666666666666,0.7803300858899107,0.0,0.0,0.0,0.0,1,3.9924178004535142,0.0,1.9459101490553128,6.724027777777777,0,0.0,0.2222222222222223,0,144.0,5.7726
15,0,1.4404761904761905,0.0,0,1.0,0.7614856834587244,0.0,0.0,0.0,0.0,0,0.0,0.0,1.6094379124341005,6.081018518518518,0,0.0,0.8888888888888893,0,4.0,6.0897
16,0,1.5000000000000009,0.0,0,0.7142857142857143,0.7721941631450926,0.0,0.0,0.0,0.0,1,4.005243055555556,0.0,2.079441541679836,8.220751133786848,0,0.0,0.2222222222222223,0,208.0,5.8026
17,0,1.4096385542168672,0.0,0,0.7142857142857143,0.7433593827013323,0.0,0.0,0.0,0.0,1,2.4610185185185185,0.0,2.9444389791664403,8.432638888888889,0,0.0,0.666666666666667,0,156.0,5.4117
18,0,1.2857142857142858,0.0,0,0.75,0.7983127663125442,0.0,0.0,0.0,0.0,1,8.728371126228268,0.0,2.70805020110221,3.863425925925926,0,0.0,1.333333333333334,0,350.0,4.9643
19,0,1.4529914529914527,0.0,0,1.0,0.7491822985688096,0.0,0.0,0.1767766952966369,0.0,0,1.7430555555555556,0.0,2.5649493574615367,8.006180555555556,0,0.0,1.1111111111111114,0,168.0,6.3291
20,0,0.8313253012048194,7.897167422524566,0,0.3,0.7537172688484136,0.0,7.109797541277533,0.0,0.0,4,1.382944066515495,0.2571135787048354,4.392904752821065,0.7549074074074071,0,0.0,2.000000000000001,1,697.0,5.0713
