,ECIndex,Diameter,TopoPSA(NO),ATSC1are,SMR_VSA7,MIC1,ATSC1v,NssNH2,ATSC2pe,AATSC1c,AATSC3Z,VSA_EState3,IC0,FilterItLogS,SaasC,VSA_EState5,NsNH3,AATS3dv,NssssC,SddsN,target
0,20,2,0.0,8.81239525796218e-16,0.0,6.738756332538552,3.1974423109204513e-13,0,-0.2041666666666667,-7.228014483236696e-20,-1.3888888888888888,0.0,0.9182958340544896,-1.1229889280331833,0.0,0.0,0,0.0,0,0.0,43.59039
1,768,13,0.0,0.1433057851239758,107.18294492525057,18.86037910917625,358.46734150928603,0,-0.087066115702461,-0.000132833837747,0.0103139431202672,0.0,0.9993375041688848,-8.149798820979436,6.310118560024765,3.246276499274334,0,2.772946859903381,2,0.0,147.96783
2,6,2,0.0,-0.0476033057851235,0.0,9.48514146245899,-119.07565669512604,0,-0.1144008264462803,-0.0004398307076546,-0.4132231404958678,0.0,0.8453509366224364,-0.8244293766420586,0.0,0.0,0,0.0,0,0.0,29.631628
3,14,3,0.0,-0.045918367346938,0.0,9.983547306657968,-114.86092522409294,0,-0.1449999999999993,-0.0003402263268452,-0.2078609221466365,0.0,0.863120568566631,-1.282733202819753,0.0,0.0,0,0.037037037037037,0,0.0,37.67869
4,406,9,0.0,0.121680000000002,58.65200837755764,19.62641825073151,304.372262969829,0,-0.0290080000000044,-3.857642890799132e-05,0.579277108433735,0.0,0.9988455359952018,-6.385401932078363,10.216198034769464,3.154039115646257,0,3.036144578313253,0,0.0,136.75131
5,140,7,0.0,0.0351562500000006,11.146209060138537,13.372875688440622,87.94039587469672,0,-0.2105468749999978,0.0001982362559415,-0.3407579787234042,0.0,0.954434002924965,-3.1747715156196503,0.0,0.0,0,0.851063829787234,0,0.0,87.38708
6,234,9,0.0,0.0195999999999989,84.9484450352071,14.6465490349964,49.02774781565284,0,-0.0751333333333361,-0.0006267436313358,-0.3620071684587811,0.0,0.9967916319816366,-4.298621426583079,2.243246409674981,0.0,0,3.4838709677419355,0,0.0,97.66092
7,90,5,0.0,0.0371938775510195,0.0,9.881818863142238,93.03734943151554,0,-0.2350000000000005,3.495955386290271e-05,-0.4978604344963791,0.0,0.9402859586706313,-2.165532170392344,0.0,2.310185185185185,0,0.6021505376344086,0,0.0,67.965
8,100,7,0.0,-3.05311331771918e-16,35.392371257240434,16.9041583989721,-1.6342482922482304e-13,0,0.0153125000000005,-8.997507317939442e-05,-0.0714869281045752,0.0,0.9798687566511528,-3.342302394121514,2.855925925925926,0.0,0,1.3725490196078431,0,0.0,70.434525
9,36,3,0.0,7.806255641895632e-16,36.39820241076966,6.509499999999999,0.0,0,-0.1837499999999986,3.614007241618348e-20,-0.8928571428571429,0.0,1.0,-1.364304252980212,0.0,0.0,0,1.2857142857142858,0,0.0,48.815514
10,90,5,0.0,0.0177777777777767,48.53093654769288,10.999887063048163,44.46961253120424,0,-0.1451851851851863,-0.0001946697910151,-0.4710851202079272,2.6203703703703707,0.9910760598382222,-2.8218855174037865,0.0,0.0,0,3.1578947368421053,0,0.0,69.07366
11,200,7,0.0,0.0399408284023655,60.6636706846161,12.766246514691854,99.90861543160769,0,-0.0724852071005936,-0.0002819517467667,0.0323594674556213,8.142037037037039,0.961236604722876,-5.074115335638913,0.0,0.0,0,5.5,0,0.0,93.602974
12,2,1,0.0,-0.0224999999999999,0.0,6.509499999999999,-56.28185335980567,0,-0.0612499999999998,-0.0050877303187545,6.25,0.0,1.0,0.3691264373472808,0.0,0.0,0,0.0,0,0.0,25.819605
13,100,7,0.0,-0.0306250000000002,34.76068645528981,16.74454709846133,-76.6058559619578,0,0.195659722222222,0.0001052948795801,-2.9513888888888884,0.0,0.9798687566511528,-1.6585823941215143,0.0,0.0,0,1.4444444444444444,0,0.0,77.45542
14,122,9,0.0,-0.0425390625000003,0.0,9.382863888284351,-106.40787900838228,0,-0.3694140624999999,-0.0001431180774842,-0.0277295524691358,0.0,0.8960382325345574,-3.867102638111995,0.0,0.0,0,0.2962962962962963,0,0.0,86.53049
15,58,5,0.0,-7.077671781985373e-16,0.0,12.744256332538551,2.8421709430404014e-14,0,-0.0816666666666673,-0.0001131112697461,-1.207729468599034,0.0,0.9182958340544896,-1.800219464761479,0.0,2.039259259259259,0,0.3623188405797101,0,0.0,60.08585
16,29,3,0.0,-5.204170427930421e-16,0.0,11.749862309036931,3.2684965844964614e-13,0,-0.1225000000000003,-7.596703546145287e-05,-1.6439909297052158,0.0,0.9182958340544896,-1.3141805002407092,0.0,1.0462962962962965,0,0.0816326530612244,0,0.0,48.54734
17,322,9,0.0,-0.0387597656249942,23.2982492738063,14.656406938440622,-96.95428645185328,0,1.0173242187499985,-0.0004702508697949,-2.0536624126552794,0.0,0.9283620723948676,-5.696556463383901,0.0,0.0,0,0.8757763975155279,4,0.0,122.53746
18,596,11,0.0,0.1318836565097103,34.386540103711205,13.716517707353098,329.8958496103817,0,-0.3635976454293451,-3.7986158921288087e-06,0.1752856300548454,0.0,0.9677884628267678,-7.75576080736294,7.395307067271354,3.4941590031074146,0,1.5060240963855422,0,0.0,156.48349
19,102,5,0.0,-3.3063829452117947e-15,33.380708950181976,11.601188130428564,-2.3447910280083306e-13,0,0.6173999999999955,9.233006507338274e-05,-0.4736842105263157,0.0,0.9709505944546686,-4.71013199860684,8.725555555555557,0.0,0,1.7894736842105263,0,0.0,89.88427
20,562,11,0.0,0.1822500000000023,35.392371257240434,16.417265869477788,455.8830122144255,0,-0.5236875000000001,5.2083492368423765e-05,-0.4684734513274336,0.0,0.9927744539878084,-2.931252499485879,3.5741959561602425,16.90631758104476,0,3.008849557522124,2,0.0,127.79705
21,348,7,0.0,0.1944000000000147,0.0,10.694492751580023,486.275213028719,0,0.0882000000000185,-9.928007386599676e-05,1.3076923076923077,0.0,0.9709505944546686,-6.434759236724272,0.0,0.0,0,2.2153846153846155,6,0.0,114.009445
22,192,7,0.0,0.0391999999999987,59.65783953108687,18.00035979941762,98.05549563130576,0,0.23193333333333,-0.0001671900437487,-0.3515754560530678,5.472037037037038,0.9967916319816366,-5.317801426583079,2.717407407407408,0.0,0,4.328358208955224,0,0.0,93.51036
23,204,7,0.0,0.0314256198347078,45.59066739408336,18.909083194385808,78.6085389901418,0,1.0316322314049564,-0.0002642733227677,-0.6315972506341542,0.0,0.9760206482366148,-5.180160365536354,0.0,0.0,0,2.0,2,0.0,106.06742
